wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200202.462,SynthZone:0020,15,0.6,32636.8,32642.8,6.0
1788200209.539,SynthZone:0098,10,1.0,61084.6,75530.7,14446.1
1788200209.546,SynthZone:0038,15,0.3,39476.9,39479.6,2.7
1788200209.552,SynthZone:0018,15,0.8,38517.8,38520.5,2.6
1788200209.563,SynthZone:0074,10,4.7,63477.9,74731.9,11254.0
1788200209.564,SynthZone:0060,10,1.5,63923.1,75190.6,11267.5
1788200240.843,SynthZone:0063,15,1.5,30021.6,71494.5,41472.9
1788200240.85,SynthZone:0045,15,0.9,68669.5,68672.0,2.5
1788200244.911,SynthZone:0092,15,2.6,38234.8,73590.1,35355.4
1788200248.07,SynthZone:0085,15,1.1,68579.1,75795.5,7216.4
1788200252.9,SynthZone:0068,15,1.0,36447.1,,
1788200252.908,SynthZone:0087,15,0.8,80252.9,80255.8,2.9
1788200252.916,SynthZone:0001,15,0.8,79917.1,79919.8,2.7
1788200252.922,SynthZone:0029,15,1.4,79849.6,79852.1,2.4
1788200252.928,SynthZone:0005,15,0.7,79602.6,79604.8,2.2
1788200252.934,SynthZone:0017,15,1.5,79372.9,79375.2,2.3
1788200252.94,SynthZone:0030,15,0.8,79260.0,79262.4,2.4
1788200252.946,SynthZone:0086,15,2.8,79254.1,79256.3,2.2
1788200252.951,SynthZone:0072,15,0.8,79191.8,79193.6,1.9
1788200252.957,SynthZone:0078,15,1.4,79156.2,79158.5,2.3
1788200252.963,SynthZone:0046,15,0.9,79044.3,79047.3,3.0
1788200252.969,SynthZone:0031,15,2.1,79045.2,79047.5,2.4
1788200254.382,SynthZone:0096,15,1.0,32727.8,87765.6,55037.8
1788200254.393,SynthZone:0032,15,1.3,80361.6,80366.6,5.0
1788200254.403,SynthZone:0048,15,2.0,80353.3,80358.3,5.0
1788200258.445,SynthZone:0099,15,1.6,37722.5,86597.8,48875.3
1788200258.455,SynthZone:0012,15,0.5,84124.0,84128.1,4.1
1788200259.581,SynthZone:0059,15,0.3,32413.7,89526.4,57112.7
1788200259.597,SynthZone:0094,15,0.7,84567.2,84574.4,7.3
1788200259.608,SynthZone:0073,15,1.3,84486.0,84490.2,4.2
1788200259.618,SynthZone:0009,15,1.8,84435.2,84438.7,3.5
1788200259.628,SynthZone:0091,15,0.9,84334.9,84338.7,3.8
1788200259.636,SynthZone:0039,15,0.4,84317.9,84321.6,3.7
1788200259.697,SynthZone:0084,15,1.0,32803.5,,
