wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200929.368,SynthZone:0022,15,1.0,113.4,118.1,4.7
1788200929.389,SynthZone:0034,15,1.2,114.0,119.6,5.6
1788200929.554,SynthZone:0003,15,1.1,114.6,117.9,3.3
1788200929.646,SynthZone:0040,15,1.0,114.1,118.5,4.4
1788200929.679,SynthZone:0017,15,0.7,112.0,114.8,2.8
1788200929.771,SynthZone:0039,15,1.1,116.1,121.9,5.8
1788200930.501,SynthZone:0025,15,0.8,111.5,116.6,5.1
1788200930.881,SynthZone:0045,15,1.1,115.2,120.1,5.0
1788200930.998,SynthZone:0046,15,1.3,112.8,115.8,3.0
1788200931.313,SynthZone:0001,15,0.6,106.6,108.6,2.0
1788200931.363,SynthZone:0042,15,0.5,106.7,108.5,1.8
1788200931.405,SynthZone:0047,15,0.6,107.2,109.6,2.4
1788200931.764,SynthZone:0011,15,0.5,110.3,115.0,4.7
1788200932.032,SynthZone:0012,15,1.3,113.1,118.5,5.4
1788200932.034,SynthZone:0021,15,1.7,116.7,120.8,4.1
1788200973.059,SynthZone:0002,20,0.5,107.5,248.3,140.7
1788200973.06,SynthZone:0007,20,0.6,110.4,1027.2,916.9
1788200973.06,SynthZone:0004,20,0.7,107.5,329.9,222.4
1788200973.363,SynthZone:0016,20,0.9,113.7,117.3,3.6
1788200973.372,SynthZone:0043,20,1.2,112.9,116.5,3.6
1788200973.455,SynthZone:0010,20,1.4,114.7,118.4,3.7
1788200974.12,SynthZone:0032,20,1.2,112.6,114.9,2.3
1788200974.174,SynthZone:0005,20,1.3,114.2,117.9,3.7
1788200974.58,SynthZone:0044,20,1.0,114.6,118.7,4.1
1788200974.77,SynthZone:0023,20,1.3,113.1,117.1,4.0
1788200974.93,SynthZone:0048,20,1.4,118.9,124.7,5.8
1788200975.035,SynthZone:0008,20,2.1,116.0,119.4,3.5
1788200975.038,SynthZone:0009,20,3.9,119.0,121.4,2.4
1788200975.053,SynthZone:0037,20,2.0,122.3,124.7,2.4
1788200975.267,SynthZone:0015,20,0.7,113.2,117.0,3.9
1788200975.611,SynthZone:0028,20,1.0,113.8,116.6,2.9
1788200975.714,SynthZone:0019,20,1.5,114.5,119.0,4.5
1788200975.743,SynthZone:0038,20,0.9,113.5,117.4,3.9
1788200975.987,SynthZone:0006,20,1.0,114.3,118.3,4.0
1788200976.294,SynthZone:0027,20,0.8,115.7,122.0,6.3
1788200976.382,SynthZone:0013,20,1.5,115.5,119.4,3.9
1788200976.403,SynthZone:0024,20,1.1,114.8,119.0,4.2
1788200976.849,SynthZone:0035,20,1.3,116.3,120.2,3.9
1788200977.101,SynthZone:0050,20,2.2,116.4,120.0,3.6
1788200977.179,SynthZone:0036,20,1.4,113.1,115.7,2.6
1788200977.216,SynthZone:0049,20,1.1,109.9,112.1,2.2
1788200977.373,SynthZone:0041,20,0.5,111.3,117.8,6.5
1788200977.581,SynthZone:0020,20,1.3,117.1,121.4,4.3
1788200977.6,SynthZone:0033,20,1.3,116.2,120.1,3.9
1788200977.804,SynthZone:0031,20,1.2,116.3,120.4,4.1
1788200977.996,SynthZone:0014,20,1.7,115.2,120.1,4.9
1788200978.145,SynthZone:0030,20,1.2,113.9,117.8,3.9
1788200978.167,SynthZone:0026,20,1.3,115.3,119.5,4.2
1788200978.673,SynthZone:0018,20,1.1,114.7,119.1,4.4
1788200979.33,SynthZone:0029,20,0.8,113.0,115.7,2.8
1788200979.358,SynthZone:0022,20,1.0,113.1,117.0,3.9
1788200979.386,SynthZone:0034,20,0.4,109.3,113.5,4.2
1788200979.553,SynthZone:0003,20,1.1,114.6,118.4,3.9
1788200979.643,SynthZone:0040,20,0.8,115.4,120.4,4.9
1788200979.681,SynthZone:0017,20,1.0,112.2,114.9,2.7
1788200979.777,SynthZone:0039,20,1.0,115.6,120.0,4.4
1788200980.506,SynthZone:0025,20,1.1,115.9,120.2,4.3
1788200980.874,SynthZone:0045,20,1.4,110.8,114.0,3.3
1788200980.992,SynthZone:0046,20,0.5,107.6,109.5,2.0
1788200981.322,SynthZone:0001,20,1.1,112.8,116.0,3.2
1788200981.369,SynthZone:0042,20,1.0,110.5,113.2,2.7
1788200981.411,SynthZone:0047,20,1.3,112.3,114.9,2.6
1788200981.758,SynthZone:0011,20,0.4,106.6,108.6,2.0
1788200982.036,SynthZone:0012,20,1.7,118.2,123.6,5.3
1788200982.041,SynthZone:0021,20,4.7,121.8,128.9,7.1
1788201022.463,SynthZone:0007,25,1.4,114.6,428.9,314.3
1788201022.849,SynthZone:0004,25,1.0,113.2,116.5,3.3
1788201022.935,SynthZone:0002,25,1.2,117.2,121.4,4.1
1788201023.369,SynthZone:0016,25,1.0,115.0,120.9,5.9
1788201023.372,SynthZone:0043,25,0.9,114.5,119.3,4.8
1788201023.446,SynthZone:0010,25,1.2,113.1,116.9,3.8
1788201024.128,SynthZone:0032,25,1.2,113.3,117.0,3.8
1788201024.178,SynthZone:0005,25,0.6,110.6,116.5,6.0
1788201024.588,SynthZone:0044,25,1.0,115.3,119.5,4.2
1788201024.762,SynthZone:0023,25,1.1,112.9,116.7,3.8
1788201024.921,SynthZone:0048,25,1.0,114.5,120.2,5.6
1788201025.026,SynthZone:0008,25,1.3,112.1,114.6,2.4
1788201025.043,SynthZone:0009,25,0.9,116.2,120.7,4.5
1788201025.055,SynthZone:0037,25,1.3,117.8,122.4,4.6
1788201025.27,SynthZone:0015,25,0.8,113.0,117.6,4.6
1788201025.614,SynthZone:0028,25,1.1,119.3,123.4,4.0
1788201025.711,SynthZone:0019,25,0.8,114.3,118.3,3.9
1788201025.739,SynthZone:0038,25,0.9,111.9,116.9,5.0
1788201025.989,SynthZone:0006,25,1.4,115.0,118.9,3.9
1788201026.285,SynthZone:0027,25,0.8,109.9,113.2,3.3
1788201026.375,SynthZone:0013,25,0.5,107.5,110.2,2.7
1788201026.392,SynthZone:0024,25,0.5,107.2,109.6,2.4
1788201026.855,SynthZone:0035,25,0.8,113.7,120.2,6.4
1788201027.101,SynthZone:0050,25,0.7,114.2,118.1,3.9
1788201027.183,SynthZone:0036,25,0.9,114.7,118.6,3.9
1788201027.222,SynthZone:0049,25,1.1,113.2,117.4,4.2
1788201027.376,SynthZone:0041,25,1.0,115.9,120.2,4.3
1788201027.574,SynthZone:0020,25,1.2,113.0,116.0,2.9
1788201027.595,SynthZone:0033,25,0.9,111.5,116.8,5.3
1788201027.804,SynthZone:0031,25,1.2,115.8,120.5,4.7
1788201027.993,SynthZone:0014,25,1.7,114.6,118.2,3.6
1788201028.14,SynthZone:0030,25,0.9,109.8,112.4,2.6
1788201028.157,SynthZone:0026,25,0.6,108.5,110.4,2.0
1788201028.669,SynthZone:0018,25,0.7,111.2,116.9,5.7
1788201029.325,SynthZone:0029,25,1.8,112.9,115.0,2.2
1788201029.361,SynthZone:0022,25,1.1,115.6,119.6,4.0
1788201029.392,SynthZone:0034,25,1.2,116.3,120.6,4.3
1788201029.55,SynthZone:0003,25,1.1,113.4,116.8,3.5
1788201029.636,SynthZone:0040,25,0.9,112.6,116.8,4.3
1788201029.681,SynthZone:0017,25,0.9,113.0,116.9,4.0
1788201029.774,SynthZone:0039,25,1.0,113.7,118.5,4.7
1788201030.501,SynthZone:0025,25,1.6,115.0,119.3,4.2
1788201030.885,SynthZone:0045,25,0.8,114.0,117.9,3.9
1788201031.009,SynthZone:0046,25,1.1,115.1,120.9,5.8
1788201031.33,SynthZone:0001,25,1.5,114.4,118.2,3.7
1788201031.369,SynthZone:0042,25,1.2,113.0,117.3,4.3
1788201031.411,SynthZone:0047,25,0.9,112.9,117.6,4.6
1788201031.763,SynthZone:0011,25,0.7,112.5,116.4,3.9
1788201032.031,SynthZone:0012,25,0.8,115.8,121.2,5.4
1788201032.035,SynthZone:0021,25,0.8,114.1,119.6,5.5
1788201072.488,SynthZone:0007,30,0.9,114.4,449.4,335.1
